Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cmｲ),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
115.5,0.671526185,0.665525687,0.663697097,0.66568151,0.664523065,3.331,0.70237,70.237,27.786,41.144,42.287,51.493,53.819,55.442,1302.432,1270.171,1304.749,1293.628,4.797,2.114,23.036,21.468,2.001,50.107
116,0.671579773,0.665553394,0.663742076,0.665770074,0.664493857,3.331,0.70232,70.232,27.818,41.211,42.362,51.59,53.801,55.473,1300.782,1268.179,1298.475,1286.053,4.798,2.134,23.036,21.399,1.997,49.908
116.5,0.67166256,0.665671329,0.663786704,0.66583618,0.664495792,3.333,0.70242,70.242,27.873,41.371,42.342,51.642,53.796,55.466,1302.432,1270.114,1303.437,1291.521,4.797,2.172,23.036,21.397,1.993,49.971
117,0.671772959,0.665873624,0.663865655,0.665910884,0.664570411,3.33,0.70232,70.232,27.956,41.411,42.295,51.655,53.786,55.456,1298.734,1267.838,1295.51,1283.262,4.797,2.154,23.036,21.378,2.006,49.818
117.5,0.671908688,0.666144513,0.664011055,0.666051335,0.664747626,3.33,0.70212,70.212,28.06,41.474,42.243,51.637,53.771,55.429,1298.621,1267.439,1302.867,1292.034,4.795,2.092,23.038,21.333,2,50.004
118,0.672041919,0.666441583,0.664207364,0.666275217,0.665006615,3.334,0.70222,70.222,28.231,41.512,42.217,51.643,53.779,55.461,1301.635,1269.033,1296.879,1284.23,4.797,2.133,23.039,21.405,1.997,49.912
118.5,0.672123668,0.666690022,0.664393742,0.666522315,0.665272755,3.338,0.70232,70.232,28.344,41.245,42.269,51.635,53.787,55.445,1302.716,1270.455,1303.551,1291.578,4.795,2.113,23.036,21.397,2.004,49.831
119,0.67212332,0.666825657,0.664509348,0.666698558,0.665469368,3.339,0.70227,70.227,28.321,41.573,42.278,51.691,53.792,55.459,1299.929,1266.13,1298.361,1286.565,4.797,2.152,23.039,21.489,1.982,50.035
119.5,0.672054012,0.66684495,0.664528917,0.666754133,0.665566178,3.333,0.70227,70.227,28.258,41.344,42.237,51.674,53.813,55.492,1301.749,1269.773,1296.365,1284.287,4.797,2.065,23.041,21.401,2.002,50.008
120,0.671960158,0.666799151,0.664463204,0.666709678,0.665574924,3.337,0.70222,70.222,28.191,41.343,42.293,51.64,53.789,55.482,1301.123,1268.748,1304.464,1292.318,4.795,2.091,23.036,21.466,1.974,49.865
120.5,0.671890067,0.666744636,0.664348569,0.666623782,0.665520173,3.337,0.70207,70.207,28.139,41.23,42.391,51.605,53.774,55.453,1300.327,1267.895,1305.661,1293.401,4.799,2.113,23.038,21.403,1.978,49.868
121,0.671871932,0.666704171,0.664233782,0.666553855,0.665423989,3.331,0.70217,70.217,28.234,41.277,42.391,51.604,53.774,55.455,1299.815,1268.293,1296.023,1283.945,4.796,2.14,23.036,21.399,1.969,50.234
121.5,0.671898957,0.666659727,0.664150132,0.666529511,0.665298669,3.334,0.70207,70.207,28.323,41.387,42.431,51.643,53.786,55.456,1298.791,1266.529,1301.099,1288.844,4.797,2.091,23.036,21.407,2.011,50.044
122,0.671937866,0.666572265,0.664089236,0.666537264,0.66514318,3.338,0.70212,70.212,28.394,41.372,42.38,51.682,53.771,55.482,1301.351,1268.691,1296.536,1283.718,4.815,2.133,23.039,21.327,1.993,49.853
122.5,0.671956109,0.666415326,0.664025448,0.66653491,0.66496002,3.334,0.70207,70.207,28.44,41.517,42.363,51.6,53.773,55.466,1302.659,1270.342,1303.437,1291.179,4.797,2.171,23.038,21.397,1.992,49.905
123,0.671931872,0.666192439,0.663951345,0.666490285,0.664773093,3.33,0.70222,70.222,28.382,41.572,42.463,51.584,53.789,55.485,1299.872,1267.838,1305.49,1293.799,4.796,2.167,23.039,21.371,1.969,50.094
123.5,0.671844227,0.665929447,0.663876336,0.66640389,0.664612168,3.337,0.70212,70.212,28.29,41.239,42.342,51.623,53.76,55.433,1301.351,1268.464,1304.178,1292.09,4.816,2.194,23.038,21.456,2.011,49.93
124,0.671676527,0.665671899,0.663804546,0.666297228,0.66448318,3.33,0.70237,70.237,28.199,41.275,42.318,51.608,53.662,55.323,1299.986,1269.374,1305.718,1293.628,4.797,2.112,23.036,21.399,1.989,50.23
124.5,0.671433762,0.665482519,0.663728683,0.666185543,0.664369552,3.331,0.70227,70.227,28.148,41.46,42.284,51.632,53.814,55.475,1299.076,1267.951,1303.551,1291.635,4.796,2.091,23.034,21.407,1.989,49.703
125,0.67114902,0.665400507,0.663637367,0.666063309,0.664260977,3.33,0.70227,70.227,28.079,41.211,42.292,51.755,53.848,55.467,1301.863,1270.797,1297.905,1285.369,4.797,2.048,23.038,21.396,1.99,49.825
125.5,0.67087668,0.665394662,0.663521006,0.665920683,0.664168934,3.331,0.70222,70.222,28.008,41.129,42.25,51.618,53.713,55.372,1300.839,1268.521,1304.749,1293.059,4.796,2.092,23.039,21.331,2.001,49.904
126,0.670673234,0.665384845,0.663374042,0.66577175,0.664109576,3.329,0.70232,70.232,27.956,41.294,42.29,51.731,53.838,55.455,1300.043,1269.146,1299.559,1287.819,4.795,2.174,22.965,21.394,2.004,50.119
126.5,0.670563658,0.665310239,0.663198263,0.66564667,0.664076239,3.327,0.70237,70.237,27.945,41.241,42.243,51.617,53.777,55.432,1299.246,1268.634,1296.536,1284.401,4.795,2.15,23.038,21.422,2.007,49.869
127,0.670521931,0.665160723,0.663006918,0.66555214,0.664034534,3.329,0.70237,70.237,27.896,41.109,42.392,51.639,53.782,55.44,1301.408,1269.602,1294.826,1282.066,4.797,2.152,23.036,21.34,1.988,49.877
127.5,0.670498828,0.664960933,0.662823528,0.665464826,0.663949411,3.331,0.70242,70.242,27.833,41.025,42.394,51.565,53.775,55.436,1301.18,1268.691,1297.905,1285.54,4.795,2.069,23.036,21.369,2.008,50.102
128,0.670464908,0.664752252,0.66267027,0.665367895,0.663817027,3.324,0.70247,70.247,27.827,40.857,42.264,51.591,53.79,55.427,1300.725,1269.829,1298.133,1285.312,4.797,2.091,23.036,21.401,2.007,49.858
128.5,0.670408944,0.66457426,0.662551607,0.665262143,0.663663024,3.326,0.70232,70.232,27.769,41.344,42.264,51.597,53.837,55.425,1301.522,1269.943,1304.521,1292.945,4.796,2.131,23.036,21.394,2.008,49.671
129,0.670306389,0.664435687,0.662447823,0.665129228,0.66350852,3.326,0.70247,70.247,27.69,41.068,42.353,51.528,53.801,55.423,1299.189,1268.008,1294.198,1282.066,4.795,2.154,23.038,21.397,2.006,50.125
129.5,0.670124641,0.664306891,0.662326944,0.664916667,0.663346955,3.328,0.70247,70.247,27.667,41.177,42.269,51.591,53.808,55.44,1300.156,1267.61,1303.437,1291.464,4.796,2.113,23.034,21.39,2.001,49.826
130,0.669861505,0.664151274,0.662164686,0.664589522,0.663155085,3.324,0.70227,70.227,27.673,41.267,42.36,51.606,53.79,55.422,1300.156,1268.577,1300.871,1289.072,4.78,2.07,23.039,21.365,1.998,49.951
130.5,0.669555869,0.663960069,0.661953259,0.6641884,0.662917208,3.322,0.70242,70.242,27.673,41.247,42.455,51.617,53.821,55.468,1297.483,1265.96,1295.339,1283.49,4.794,2.076,23.036,21.39,2.001,50.091
131,0.669256313,0.663754815,0.661694165,0.663810673,0.662635722,3.322,0.70227,70.227,27.803,40.717,42.253,51.593,53.813,55.468,1300.441,1268.179,1294.655,1282.749,4.797,2.134,23.038,21.331,2.005,49.646
131.5,0.668990042,0.663561691,0.661392398,0.663530062,0.662326302,3.317,0.70222,70.222,27.957,40.898,42.365,51.59,53.804,55.456,1303.228,1270.854,1301.498,1288.844,4.795,2.171,23.038,21.411,1.974,49.91
132,0.668753985,0.66338765,0.661068836,0.663347105,0.66200863,3.32,0.70227,70.227,27.979,40.729,42.207,51.667,53.857,55.497,1300.782,1268.634,1295.453,1283.034,4.796,2.081,23.041,21.396,1.994,49.682
132.5,0.668526032,0.663225905,0.660775726,0.663215792,0.661702104,3.319,0.70232,70.232,27.986,41.216,42.259,51.604,53.788,55.425,1300.1,1267.951,1302.924,1291.293,4.798,2.192,23.036,21.401,1.989,50.227
133,0.668288791,0.66307993,0.660578273,0.663092279,0.661425479,3.313,0.70222,70.222,27.959,40.828,42.379,51.609,53.817,55.472,1301.294,1269.545,1305.718,1293.344,4.796,2.113,23.038,21.405,1.989,49.829
133.5,0.668045636,0.662960925,0.660501722,0.662945065,0.661188534,3.316,0.70237,70.237,27.988,41.049,42.356,51.609,53.826,55.469,1298.621,1266.643,1300.586,1289.015,4.796,2.157,22.975,21.401,1.952,50.063
134,0.667812833,0.662856849,0.660501547,0.66274065,0.660975857,3.315,0.70232,70.232,28.003,40.982,42.325,51.682,53.775,55.406,1298.393,1266.472,1304.578,1293.059,4.796,2.113,23.036,21.384,1.975,49.958
134.5,0.667602202,0.662727702,0.660497305,0.662452556,0.660750936,3.316,0.70232,70.232,27.997,40.779,42.383,51.652,53.848,55.465,1298.905,1266.074,1304.521,1291.179,4.796,2.091,23.039,21.369,1.955,50.108
135,0.667419834,0.662548374,0.660434185,0.662098463,0.660495235,3.313,0.70203,70.203,28.037,41.417,42.348,51.649,53.821,55.476,1299.303,1266.586,1297.563,1284.287,4.796,2.15,23.036,21.401,1.989,49.989
135.5,0.667281813,0.662349273,0.660313918,0.661762954,0.660247127,3.313,0.70222,70.222,28.015,41.191,42.365,51.715,53.819,55.456,1300.441,1268.236,1302.81,1289.527,4.797,2.194,23.036,21.403,2.004,50.07
136,0.667219256,0.662205442,0.660183944,0.661565995,0.660090362,3.307,0.70212,70.212,28.049,41.237,42.321,51.725,53.853,55.493,1299.701,1268.236,1303.437,1290.097,4.816,2.091,23.036,21.401,1.986,49.858
136.5,0.66725364,0.662179951,0.660104514,0.66158611,0.66009349,3.308,0.70232,70.232,28.044,41.663,42.191,51.745,53.856,55.466,1297.995,1266.643,1303.893,1291.122,4.796,2.113,23.036,21.331,1.991,49.932
137,0.667368347,0.662274528,0.660111107,0.661801817,0.660256158,3.314,0.70222,70.222,28.056,41.56,42.275,51.655,53.759,55.408,1297.085,1264.765,1302.696,1290.211,4.798,2.114,23.036,21.329,1.985,50.007
137.5,0.667513888,0.662427879,0.660191009,0.662104091,0.660504723,3.31,0.70232,70.232,27.931,41.326,42.336,51.685,53.828,55.474,1298.222,1266.586,1296.536,1283.774,4.797,2.13,23.036,21.397,1.997,50.385
138,0.667638236,0.662553296,0.660291966,0.662365332,0.660736735,3.317,0.70232,70.232,27.894,41.28,42.42,51.605,53.819,55.444,1301.408,1268.464,1295.453,1283.148,4.801,2.152,23.039,21.464,2.009,50.746
138.5,0.667713567,0.662581619,0.660359464,0.662507427,0.660885238,3.316,0.70237,70.237,27.888,42.063,42.218,51.598,53.82,55.461,1302.375,1269.203,1297.734,1286.508,4.796,2.091,23.038,21.399,2.009,49.541
139,0.66774866,0.662491023,0.660372925,0.662525401,0.660952793,3.315,0.70247,70.247,27.873,41.218,42.256,51.635,53.781,55.459,1301.749,1269.602,1305.319,1293.457,4.797,2.153,23.034,21.407,2.006,49.971
139.5,0.667782058,0.662317774,0.660346841,0.662460365,0.660980848,3.31,0.70237,70.237,27.89,41.41,42.232,51.671,53.802,55.481,1297.426,1266.301,1300.015,1288.445,4.793,2.113,23.039,21.396,1.981,49.796
140,0.667854116,0.662143499,0.66030728,0.66236235,0.660997158,3.317,0.70222,70.222,27.933,41.856,42.224,51.597,53.81,55.46,1302.716,1270.228,1295.681,1283.034,4.816,2.135,23.036,21.399,1.986,49.764
140.5,0.667985341,0.662066573,0.660287412,0.662291108,0.661017501,3.313,0.70237,70.237,27.951,41.238,42.215,51.598,53.773,55.452,1301.351,1269.829,1298.19,1285.483,4.797,2.152,23.036,21.397,1.983,49.988
141,0.668181494,0.662166102,0.660340729,0.662327167,0.661090599,3.311,0.70222,70.222,27.974,41.183,42.178,51.63,53.796,55.478,1299.076,1268.919,1296.936,1284.971,4.794,2.049,23.036,21.399,1.997,49.752
141.5,0.668447373,0.662460307,0.660526713,0.662533328,0.66129581,3.312,0.70212,70.212,28.044,41.337,42.302,51.623,53.792,55.459,1299.417,1268.293,1301.498,1289.527,4.816,2.069,23.036,21.331,2,50.152
142,0.668785465,0.662883881,0.660863348,0.662897224,0.661669281,3.316,0.70188,70.188,28.203,41.327,42.24,51.569,53.741,55.402,1298.166,1266.984,1297.848,1285.483,4.796,2.091,23.038,21.397,2.007,50.013
142.5,0.669180812,0.663319582,0.661297913,0.663333626,0.662147143,3.322,0.70227,70.227,28.344,41.453,42.385,51.629,53.765,55.462,1299.076,1266.984,1304.635,1292.717,4.797,2.172,23.041,21.396,1.986,50.116
143,0.66958206,0.663670318,0.661731048,0.663736102,0.662598439,3.321,0.70222,70.222,28.318,41.314,42.203,51.594,53.755,55.448,1298.393,1266.244,1298.133,1284.743,4.799,2.133,23.039,21.331,1.996,49.925
143.5,0.669897852,0.663905143,0.662065395,0.664013668,0.662906297,3.325,0.70222,70.222,28.249,41.442,42.186,51.688,53.834,55.474,1299.246,1266.984,1300.015,1287.932,4.797,2.091,23.036,21.435,1.989,49.575
144,0.670034781,0.664040033,0.662238627,0.664108942,0.66301763,3.327,0.70227,70.227,28.168,41.211,42.214,51.525,53.815,55.482,1302.546,1269.716,1299.445,1286.622,4.796,2.171,23.036,21.399,2.006,49.901
144.5,0.669960289,0.664090021,0.662243239,0.664025195,0.66294751,3.324,0.70232,70.232,28.041,41.443,42.237,51.619,53.797,55.464,1301.522,1269.09,1296.422,1284.344,4.797,2.15,23.038,21.403,1.993,50.022
145,0.66972827,0.664056597,0.662135148,0.663839334,0.662763661,3.324,0.70237,70.237,27.994,41.285,42.37,51.698,53.74,55.443,1299.133,1267.155,1303.437,1290.496,4.797,2.113,23.036,21.399,1.973,50.295
145.5,0.669442771,0.663959953,0.662004166,0.663664715,0.66255644,3.319,0.70217,70.217,27.959,41.575,42.337,51.685,53.83,55.471,1297.654,1266.643,1300.015,1287.648,4.796,2.172,23.036,21.329,2.001,49.942
146,0.66920141,0.663859039,0.661916556,0.663584144,0.662400546,3.319,0.70237,70.237,27.896,41.208,42.366,51.616,53.832,55.452,1301.692,1269.886,1295.453,1284.059,4.797,2.07,23.036,21.399,2.001,49.875
146.5,0.669060448,0.663817157,0.661891424,0.663604044,0.66233217,3.323,0.70232,70.232,27.8,41.06,42.328,51.614,53.798,55.439,1301.294,1268.805,1296.594,1284.059,4.797,2.091,23.034,21.331,2,49.824
147,0.669024174,0.663850851,0.661923619,0.663661663,0.662350107,3.315,0.70247,70.247,27.774,41.14,42.345,51.566,53.774,55.409,1300.1,1268.976,1298.989,1286.565,4.796,2.172,23.036,21.403,2.004,50.04
147.5,0.669053657,0.663926728,0.661997323,0.66368138,0.662424507,3.326,0.70251,70.251,27.755,41.215,42.171,51.605,53.821,55.444,1301.522,1268.976,1297.791,1285.54,4.796,2.091,23.036,21.397,2.004,49.684
148,0.669095665,0.664001567,0.662073202,0.663639851,0.662509596,3.322,0.70232,70.232,27.725,41.322,42.295,51.567,53.76,55.43,1301.01,1269.431,1300.015,1287.705,4.797,2.171,23.038,21.388,2,50.109
148.5,0.669113462,0.664042779,0.662090117,0.663579389,0.662563468,3.318,0.70232,70.232,27.656,41.014,42.373,51.471,53.753,55.387,1300.782,1268.976,1296.479,1284.059,4.816,2.151,23.036,21.331,1.999,50.092
149,0.669095598,0.664014018,0.661999715,0.663553792,0.662562331,3.324,0.70232,70.232,27.712,41.01,42.357,51.666,53.847,55.487,1297.938,1267.155,1303.209,1290.553,4.799,2.194,23.036,21.386,2.005,50.143
149.5,0.669053087,0.663885688,0.661809786,0.663575307,0.662503787,3.324,0.70227,70.227,27.867,41.011,42.418,51.595,53.841,55.443,1301.465,1269.26,1303.038,1291.122,4.796,2.114,23.036,21.392,2.016,49.99
150,0.669021153,0.663685882,0.661599822,0.663623338,0.662409259,3.317,0.70222,70.222,27.861,41.089,42.333,51.67,53.815,55.473,1300.441,1269.488,1303.551,1291.692,4.796,2.113,23.036,21.405,1.964,49.89
150.5,0.669047621,0.663513147,0.661483109,0.663684678,0.662323363,3.319,0.70232,70.232,27.925,41.247,42.233,51.616,53.892,55.461,1299.531,1267.61,1297.848,1285.882,4.796,2.148,23.036,21.396,2.011,49.708
151,0.669158665,0.663468603,0.661531245,0.663770589,0.662303508,3.32,0.70222,70.222,27.884,40.745,42.168,51.544,53.882,55.463,1300.953,1268.521,1305.262,1293.287,4.796,2.112,23.038,21.394,1.992,50.137
151.5,0.669330568,0.663572893,0.661714881,0.6638967,0.662393084,3.317,0.70237,70.237,27.85,40.929,42.365,51.57,53.802,55.409,1296.971,1266.699,1297.335,1284.857,4.796,2.068,23.036,21.331,1.998,49.846
152,0.669496062,0.663751272,0.661912771,0.664046591,0.662577041,3.323,0.70256,70.256,27.861,40.996,42.376,51.586,53.83,55.42,1299.645,1268.008,1296.365,1283.945,4.795,2.149,23.036,21.394,2.012,50.078
152.5,0.669580546,0.663897262,0.661995408,0.664162401,0.662762206,3.327,0.70222,70.222,27.884,40.786,42.365,51.62,53.861,55.495,1301.237,1269.033,1299.73,1286.622,4.795,2.09,23.036,21.401,2,49.91
153,0.669542115,0.663953491,0.661917228,0.664188659,0.662834681,3.325,0.70237,70.237,27.884,40.993,42.307,51.622,53.806,55.437,1302.261,1269.09,1302.296,1290.211,4.795,2.194,23.038,21.397,1.985,50.031
153.5,0.669388963,0.663935496,0.661731894,0.664124728,0.662751414,3.318,0.70237,70.237,27.845,40.839,42.207,51.51,53.792,55.412,1299.189,1268.122,1304.692,1293.344,4.795,2.113,23.036,21.333,1.997,49.938
154,0.669168636,0.663889196,0.661528251,0.66402197,0.662561702,3.325,0.70237,70.237,27.845,40.967,42.373,51.587,53.86,55.477,1301.01,1269.09,1301.213,1289.755,4.796,2.112,23.038,21.47,2.005,49.897
154.5,0.66894461,0.663841438,0.66136566,0.66393541,0.662346284,3.317,0.70232,70.232,27.887,41.067,42.464,51.588,53.838,55.431,1299.588,1268.691,1302.296,1291.293,4.796,2.194,23.036,21.399,2.016,50.262
155,0.668768413,0.66378565,0.661252888,0.663883518,0.662153659,3.32,0.70242,70.242,27.867,40.922,42.305,51.584,53.825,55.447,1296.687,1266.074,1298.19,1285.996,4.815,2.171,23.036,21.394,2.016,49.796
155.5,0.668652475,0.663696848,0.661153841,0.663842246,0.661983481,3.319,0.70237,70.237,27.916,40.911,42.292,51.511,53.793,55.403,1302.944,1270.74,1305.718,1294.198,4.795,2.113,23.039,21.394,2.008,50.197
156,0.668564693,0.663561973,0.66101423,0.663767378,0.66180851,3.321,0.70242,70.242,27.881,41.23,42.366,51.585,53.796,55.427,1303.057,1270.285,1298.989,1287.989,4.795,2.112,23.038,21.437,2.005,50.086
156.5,0.668460955,0.663404595,0.660812037,0.663626753,0.661611657,3.319,0.70232,70.232,27.865,40.793,42.316,51.583,53.842,55.446,1297.483,1265.391,1296.536,1284.287,4.795,2.171,23.036,21.401,1.994,49.882
157,0.668328451,0.663272735,0.660587857,0.663418611,0.661410874,3.315,0.70212,70.212,27.832,41.02,42.296,51.604,53.859,55.493,1302.432,1270.569,1294.369,1283.148,4.796,2.15,23.038,21.388,1.966,49.623
157.5,0.668192296,0.663192598,0.660408128,0.663169139,0.661249007,3.316,0.70251,70.251,27.832,40.875,42.259,51.641,53.849,55.448,1296.402,1264.992,1304.235,1292.147,4.791,2.114,23.038,21.399,2.004,49.776
158,0.668080406,0.663137399,0.66029707,0.662917681,0.661157019,3.314,0.70232,70.232,27.841,40.726,42.325,51.534,53.792,55.394,1298.564,1266.984,1304.692,1292.261,4.797,2.113,23.034,21.333,1.985,50.253
158.5,0.667988953,0.663048638,0.66021707,0.662694822,0.661123203,3.317,0.70237,70.237,27.901,41.127,42.33,51.598,53.841,55.49,1300.612,1268.862,1305.718,1294.084,4.795,2.131,23.038,21.392,2.001,50.035
159,0.667880812,0.662887627,0.660113995,0.662501973,0.661093111,3.314,0.70227,70.227,27.859,41.084,42.324,51.553,53.832,55.478,1302.659,1270.512,1305.262,1293.23,4.797,2.113,23.038,21.394,1.979,49.822
159.5,0.667713665,0.662657664,0.659967395,0.66231342,0.661005466,3.315,0.70227,70.227,27.899,40.74,42.376,51.613,53.842,55.476,1300.498,1268.577,1300.015,1287.705,4.795,2.091,23.036,21.396,2.007,50.072
160,0.667479253,0.66237968,0.659797472,0.662107451,0.660843689,3.314,0.70237,70.237,27.871,41.194,42.368,51.603,53.766,55.48,1298.678,1267.724,1304.977,1293.401,4.799,2.113,23.038,21.329,1.974,49.972
160.5,0.667224361,0.662068748,0.659641404,0.661896174,0.660653352,3.31,0.70237,70.237,27.887,41.292,42.362,51.569,53.815,55.47,1301.749,1270.228,1303.437,1291.977,4.8,2.112,23.036,21.331,2.012,49.86
161,0.667025256,0.661750519,0.659533489,0.661725069,0.660501353,3.309,0.70212,70.212,28.011,41.619,42.243,51.655,53.801,55.479,1300.043,1269.203,1295.624,1284.344,4.797,2.151,23.036,21.458,1.982,49.749
161.5,0.666929923,0.661488406,0.659496887,0.661648412,0.660424622,3.31,0.70227,70.227,27.954,41.456,42.276,51.475,53.701,55.371,1302.261,1269.943,1295.567,1283.831,4.795,2.085,23.036,21.397,2.008,50.083
162,0.666928909,0.661369546,0.659532734,0.66170023,0.66042266,3.308,0.70237,70.237,27.899,41.049,42.336,51.571,53.776,55.44,1301.123,1269.147,1301.441,1289.129,4.796,2.194,23.036,21.386,2.016,50.059
162.5,0.666984767,0.661443181,0.659609072,0.661865651,0.660478518,3.308,0.70237,70.237,27.849,41.057,42.409,51.641,53.795,55.453,1299.303,1267.781,1305.718,1293.287,4.798,2.133,23.036,21.401,2.017,49.96
163,0.667076814,0.661667932,0.659675803,0.662070596,0.660571445,3.313,0.70242,70.242,27.841,41.174,42.292,51.52,53.713,55.425,1303.057,1270.569,1303.893,1291.179,4.796,2.113,23.038,21.399,2.012,49.903
163.5,0.667207705,0.66193329,0.6597035,0.662221112,0.660683433,3.314,0.70232,70.232,27.826,41.219,42.207,51.55,53.796,55.458,1300.555,1269.147,1295.453,1283.148,4.794,2.153,23.036,21.39,2.016,49.941
164,0.667373703,0.66214138,0.659702221,0.662268547,0.660800981,3.31,0.70227,70.227,27.85,41.374,42.183,51.592,53.773,55.469,1300.839,1269.203,1296.651,1285.426,4.816,2.153,23.036,21.331,2.017,49.949
164.5,0.667545152,0.662263243,0.659703044,0.662234381,0.660903542,3.313,0.70232,70.232,27.891,40.956,42.258,51.618,53.802,55.463,1302.204,1270.626,1305.718,1292.204,4.797,2.174,23.036,21.34,2.016,50.065
165,0.667688766,0.662325502,0.659737024,0.662180827,0.660964854,3.316,0.70247,70.247,27.927,41.136,42.342,51.657,53.755,55.454,1300.043,1268.634,1297.848,1284.743,4.797,2.09,23.038,21.382,2.012,50.056
165.5,0.667806436,0.662371597,0.65983202,0.662171419,0.660991079,3.311,0.70237,70.237,27.959,41.144,42.318,51.597,53.784,55.424,1298.678,1267.724,1305.718,1293.628,4.816,2.133,23.036,21.396,2.018,50.119
166,0.667932281,0.662437324,0.660003266,0.662243971,0.661041565,3.311,0.70247,70.247,28.037,41.405,42.324,51.661,53.786,55.479,1297.54,1267.155,1302.639,1289.926,4.796,2.114,23.036,21.331,2.003,49.692
166.5,0.668083157,0.662540871,0.660234527,0.662399641,0.661178579,3.315,0.70227,70.227,28.16,41.013,42.48,51.645,53.799,55.448,1300.555,1269.488,1304.292,1290.154,4.795,2.194,23.038,21.454,2.011,50.035
167,0.668233485,0.662687056,0.660483082,0.662614275,0.661396801,3.315,0.70232,70.232,28.249,41.379,42.357,51.638,53.736,55.427,1301.749,1270.171,1304.749,1291.635,4.797,2.133,23.036,21.329,2.008,50.261
167.5,0.66835535,0.662881757,0.660711524,0.662856722,0.661622602,3.32,0.70222,70.222,28.341,41.653,42.221,51.635,53.78,55.435,1300.725,1268.236,1295.567,1283.376,4.799,2.15,23.038,21.331,2.008,49.727
168,0.668457485,0.663128859,0.660902254,0.663091299,0.661780756,3.312,0.70193,70.193,28.423,41.373,42.33,51.62,53.721,55.412,1300.384,1269.09,1295.852,1283.148,4.795,2.15,23.036,21.46,1.993,50.032
168.5,0.668555657,0.663401076,0.661038971,0.663274158,0.661850275,3.323,0.70217,70.217,28.443,41.672,42.29,51.645,53.811,55.481,1300.896,1268.577,1303.779,1292.318,4.796,2.113,23.036,21.399,2.005,50.091
169,0.668622921,0.663627401,0.661098043,0.663362568,0.661861406,3.317,0.70222,70.222,28.404,41.499,42.237,51.615,53.769,55.43,1298.621,1268.008,1301.498,1288.673,4.795,2.113,23.038,21.396,2.005,49.967
169.5,0.668605636,0.66373381,0.661075874,0.663338822,0.661856867,3.322,0.70222,70.222,28.353,41.43,42.293,51.689,53.784,55.469,1299.246,1267.382,1305.718,1293.059,4.795,2.091,23.038,21.394,1.997,49.981
170,0.66849009,0.66370379,0.66100825,0.663238195,0.661862734,3.319,0.70232,70.232,28.254,41.585,42.327,51.617,53.775,55.462,1299.531,1267.724,1294.312,1281.61,4.795,2.149,23.036,21.458,1.991,50.176
170.5,0.668330575,0.663589665,0.660939344,0.663146244,0.661882912,3.316,0.70222,70.222,28.306,41.42,42.273,51.735,53.783,55.476,1299.019,1267.838,1294.712,1281.895,4.796,2.149,23.034,21.333,1.978,49.836
171,0.668198605,0.663453093,0.660869366,0.663129042,0.66189376,3.314,0.70203,70.203,28.274,41.28,42.397,51.66,53.809,55.485,1298.621,1268.008,1296.422,1283.319,4.794,2.069,23.036,21.394,2.003,50.313
171.5,0.668107058,0.663294942,0.660742157,0.663145482,0.661832427,3.321,0.70217,70.217,28.196,41.485,42.336,51.618,53.838,55.472,1301.749,1268.976,1294.312,1282.521,4.796,2.113,23.036,21.399,2.002,50.339
172,0.667989738,0.66305335,0.660488087,0.663057641,0.661615311,3.318,0.70222,70.222,28.09,41.276,42.279,51.613,53.821,55.467,1300.612,1268.35,1294.312,1280.984,4.795,2.15,23.036,21.46,2.008,49.928
172.5,0.667758032,0.662677718,0.660088757,0.662758002,0.661205641,3.319,0.70227,70.227,28.026,41.141,42.313,51.52,53.722,55.392,1298.109,1266.074,1302.867,1290.04,4.799,2.091,23.043,21.329,2.007,49.8
173,0.667385857,0.662204109,0.659615352,0.662282788,0.660675682,3.313,0.70217,70.217,27.983,41.343,42.311,51.655,53.81,55.48,1300.725,1268.805,1297.677,1284.287,4.805,2.151,23.038,21.397,1.985,49.892
173.5,0.666951362,0.661749278,0.659200615,0.661786908,0.660185234,3.306,0.70242,70.242,27.956,41.385,42.157,51.555,53.733,55.406,1300.498,1269.659,1296.822,1284.287,4.795,2.172,23.036,21.392,2.008,49.757
174,0.666589318,0.661416185,0.658952786,0.661411025,0.659870809,3.3,0.70237,70.237,27.931,41.368,42.227,51.604,53.796,55.44,1298.507,1267.553,1299.103,1285.426,4.783,2.171,23.036,21.397,2.008,49.843
174.5,0.666393081,0.661214743,0.658889085,0.661191053,0.659751512,3.312,0.70222,70.222,27.916,41.321,42.238,51.607,53.773,55.473,1301.977,1268.919,1304.464,1292.318,4.796,2.114,23.036,21.394,1.981,49.667
175,0.666364865,0.66109462,0.65895116,0.661095131,0.659754141,3.309,0.70232,70.232,27.965,41.464,42.246,51.56,53.806,55.455,1297.199,1264.878,1305.319,1293.628,4.796,2.112,23.036,21.462,2.012,49.733
175.5,0.666447805,0.661038684,0.659067671,0.661099129,0.659812744,3.302,0.70237,70.237,27.934,41.376,42.24,51.623,53.822,55.462,1297.938,1266.699,1297.791,1285.711,4.795,2.068,23.036,21.384,2.005,49.827
